file_name,n_rows,raw_column_name,dtype,non_null_count,null_count,null_pct,is_numeric,min,max,mean,std,is_timestamp_like,unique_count,sample_values
S-S1.csv,51746,GPS LATITUDE (degrees),float64,51746,0,0.0,True,52.398403,52.419914,52.409536212731425,0.00549432973549348,False,,
S-S1.csv,51746,GPS LONGITUDE (degrees),float64,51746,0,0.0,True,-1.603373,-1.50529,-1.5780446350249295,0.020547883250255104,False,,
S-S1.csv,51746,GPS ALTITUDE (m),float64,51746,0,0.0,True,142.87,191.35,173.89195763923786,9.965974908639096,False,,
S-S1.csv,51746,GPS SPEED (Kmh),float64,51746,0,0.0,True,0.0,18.82,7.43090596374599,4.354709722739181,False,,
S-S1.csv,51746,GPS ACCURACY (m),int64,51746,0,0.0,True,2.0,32.0,2.8789278398330307,1.3674040561831216,False,,
S-S1.csv,51746,GPS ORIENTATION (Â°),float64,51746,0,0.0,True,0.1,359.56,192.56289007846019,103.226979106372,False,,
S-S1.csv,51746,GPS SATELLITES IN RANGE,object,51746,0,0.0,False,,,,,False,52.0,"['27 / 28', '27 / 28', '27 / 28']"
S-S1.csv,51746,TIME SINCE START (ms),int64,51746,0,0.0,True,2922.0,5177421.0,2590171.4572334094,1493792.7820862015,True,,
S-S1.csv,51746,DATE (YYYY-MO-DD HH-MI-SS_SSS),object,51746,0,0.0,False,,,,,True,51746.0,"['2019-09-08 10:07:49:546', '2019-09-08 10:07:49:646', '2019-09-08 10:07:49:745']"
S-S1.csv,51746,ACCELEROMETER X (m/sï¿½),float64,51746,0,0.0,True,-8.3689,7.5736,0.0422816971360105,1.0602462024492272,False,,
S-S1.csv,51746,ACCELEROMETER Y (m/sï¿½),float64,51746,0,0.0,True,-8.2137,11.3521,0.06223483940787693,1.0664370218653398,False,,
S-S1.csv,51746,ACCELEROMETER Z (m/sï¿½),float64,51746,0,0.0,True,2.4242,16.1533,9.847417781084527,0.5131802743581733,False,,
S-S1.csv,51746,GRAVITY X (m/sï¿½),float64,51746,0,0.0,True,-0.2561,0.2239999999999999,-0.00017001700614540256,0.0194929349688441,False,,
S-S1.csv,51746,GRAVITY Y (m/sï¿½),float64,51746,0,0.0,True,-0.3498,0.4363,3.469833417075719e-05,0.022921745210621448,False,,
S-S1.csv,51746,GRAVITY Z (m/sï¿½),float64,51746,0,0.0,True,9.7963,9.8066,9.806545477911337,0.00017665506477138997,False,,
S-S1.csv,51746,GYROSCOPE X (rad/s),float64,51746,0,0.0,True,-1.1627,1.3556,0.002192051559540834,0.09986786281775534,False,,
S-S1.csv,51746,GYROSCOPE Y (rad/s),float64,51746,0,0.0,True,-0.7799,0.633,-0.007248550612607737,0.14165254987265355,False,,
S-S1.csv,51746,GYROSCOPE Z (rad/s),float64,51746,0,0.0,True,-0.5837,0.5546,0.0025491728829281487,0.05147701685479646,False,,
S-S1.csv,51746,MAGNETIC FIELD X (Î¼T),float64,51746,0,0.0,True,-41.87,10.75,-15.914522861670468,12.296812858750348,False,,
S-S1.csv,51746,MAGNETIC FIELD Y (Î¼T),float64,51746,0,0.0,True,-39.19,-16.62,-27.940870212190315,2.9243444772449934,False,,
S-S1.csv,51746,MAGNETIC FIELD Z (Î¼T),float64,51746,0,0.0,True,-11.0,43.88,17.04294360916786,12.979470470651375,False,,
S-S1.csv,51746,ORIENTATION (Azimuth) (Â°),float64,51746,0,0.0,True,0.0,360.0,181.65630309589147,140.60328078765326,False,,
S-S1.csv,51746,ORIENTATION (Pitch) (Â°),float64,51746,0,0.0,True,-89.69,-68.11,-81.11301047423956,2.7234365210640745,False,,
S-S1.csv,51746,ORIENTATION (Roll ) (Â°),float64,51746,0,0.0,True,-180.0,180.0,-127.49334557260465,82.45533233753949,False,,
V-S1.csv,51746,No of GPS Satellites Available,float64,51746,0,0.0,True,0.0,140.0,114.31032350326595,50.07086732102154,False,,
V-S1.csv,51746,Time Since Start of Day (seconds),float64,51746,0,0.0,True,32869.0,38043.5,35456.25000001933,1493.7927851690888,True,,
V-S1.csv,51746,Latitude (degrees),float64,51746,0,0.0,True,52.3984045,52.4199255,52.40954211120087,0.005486963363078242,False,,
V-S1.csv,51746,Longitude (degrees),float64,51746,0,0.0,True,-1.6034266,-1.5053331,-1.5780888161365128,0.020448503998946585,False,,
V-S1.csv,51746,Velocity (km/hr),float64,51746,0,0.0,True,0.0,93.834,26.40095879874773,16.235764184658947,False,,
V-S1.csv,51746,Heading (degrees),float64,51746,0,0.0,True,0.005,359.997,194.78200407760983,103.04607508683176,False,,
V-S1.csv,51746,Height (km),float64,51746,0,0.0,True,92.05,143.89,123.25396649016349,9.616079643416551,False,,
V-S1.csv,51746,Vertical velocity (km/hr),float64,51746,0,0.0,True,-1.19,2.2,0.012476906427549955,0.2318118893660707,False,,
V-S1.csv,51746,Sample period (seconds),float64,51746,0,0.0,True,0.099,0.1009999999999999,0.1,6.216999066975825e-06,False,,
V-S1.csv,51746,Steering Angle (degrees),float64,51746,0,0.0,True,0.0,450.2,20.106810054349324,62.93573504183671,False,,
V-S1.csv,51746,Wheel Speed Front Left (rad/sec),float64,51746,0,0.0,True,0.0,68.23999,26.687393116036016,16.298485316872064,False,,
V-S1.csv,51746,Wheel Speed Front Right (rad/sec),float64,51746,0,0.0,True,0.0,68.12999,26.679967230354038,16.289636050976775,False,,
V-S1.csv,51746,Wheel Speed Rear Left (rad/sec),float64,51746,0,0.0,True,0.0,68.09999,26.602587751706416,16.31617750178278,False,,
V-S1.csv,51746,Wheel Speed Rear Right (rad/sec),float64,51746,0,0.0,True,0.0,67.92999,26.55719835476172,16.285884428669053,False,,
